ckpt,task,seed,score,passed
1,simple_019,42,66.67,False
1,simple_038,42,25.00,False
1,simple_059,42,66.67,False
1,simple_070,42,66.67,False
1,simple_075,42,100.00,True
1,simple_085,42,33.33,False
1,simple_094,42,100.00,True
1,simple_098,42,33.33,False
1,simple_019,43,100.00,True
1,simple_038,43,100.00,True
1,simple_059,43,100.00,True
1,simple_070,43,33.33,False
1,simple_075,43,66.67,False
1,simple_085,43,66.67,False
1,simple_094,43,100.00,True
1,simple_098,43,100.00,True
1,simple_019,44,16.67,False
1,simple_038,44,100.00,True
1,simple_059,44,100.00,True
1,simple_070,44,100.00,True
1,simple_075,44,100.00,True
1,simple_085,44,100.00,True
1,simple_094,44,100.00,True
1,simple_098,44,33.33,False
1,simple_019,45,100.00,True
1,simple_038,45,25.00,False
1,simple_059,45,66.67,False
1,simple_070,45,100.00,True
1,simple_075,45,100.00,True
1,simple_085,45,100.00,True
1,simple_094,45,33.33,False
1,simple_098,45,66.67,False
1,simple_019,46,66.67,False
1,simple_038,46,25.00,False
1,simple_059,46,100.00,True
1,simple_070,46,33.33,False
1,simple_075,46,100.00,True
1,simple_085,46,33.33,False
1,simple_094,46,100.00,True
1,simple_098,46,100.00,True
2,simple_019,42,66.67,False
2,simple_038,42,100.00,True
2,simple_059,42,66.67,False
2,simple_070,42,33.33,False
2,simple_075,42,100.00,True
2,simple_085,42,66.67,False
2,simple_094,42,100.00,True
2,simple_098,42,33.33,False
2,simple_019,43,100.00,True
2,simple_038,43,100.00,True
2,simple_059,43,100.00,True
2,simple_070,43,66.67,False
2,simple_075,43,100.00,True
2,simple_085,43,100.00,True
2,simple_094,43,100.00,True
2,simple_098,43,33.33,False
2,simple_019,44,100.00,True
2,simple_038,44,100.00,True
2,simple_059,44,100.00,True
2,simple_070,44,66.67,False
2,simple_075,44,100.00,True
2,simple_085,44,33.33,False
2,simple_094,44,100.00,True
2,simple_098,44,100.00,True
2,simple_019,45,66.67,False
2,simple_038,45,25.00,False
2,simple_059,45,100.00,True
2,simple_070,45,100.00,True
2,simple_075,45,100.00,True
2,simple_085,45,33.33,False
2,simple_094,45,100.00,True
2,simple_098,45,33.33,False
2,simple_019,46,100.00,True
2,simple_038,46,25.00,False
2,simple_059,46,100.00,True
2,simple_070,46,100.00,True
2,simple_075,46,100.00,True
2,simple_085,46,66.67,False
2,simple_094,46,100.00,True
2,simple_098,46,33.33,False
3,simple_019,42,66.67,False
3,simple_038,42,50.00,False
3,simple_059,42,100.00,True
3,simple_070,42,100.00,True
3,simple_075,42,100.00,True
3,simple_085,42,66.67,False
3,simple_094,42,100.00,True
3,simple_098,42,66.67,False
3,simple_019,43,66.67,False
3,simple_038,43,75.00,False
3,simple_059,43,100.00,True
3,simple_070,43,33.33,False
3,simple_075,43,100.00,True
3,simple_085,43,33.33,False
3,simple_094,43,100.00,True
3,simple_098,43,100.00,True
